id	original_sentence	aspect	label_id	label
31#62#0	giao hàng nhanh,hàng chất đẹp ,phom chuẩn ,đường may chắc chắn,giá rẻ , sẽ mua thêm 1c nữa,có thiệp rất xinh và chuyên nghiệp , cho shop 10 sao luôn	Design	0	positive
31#50#0	Màu sắc:đen Đúng với mô tả:đẹp Hình in đẹp sắc nét, vải mặc mát , đóng góp rất rất đẹp lun ý	Design	0	positive
33#121#0	áo vải mỏng mặc mùa hè rất mát . phần chữ in cx khá rõ . nhưng để mà dùng lâu , giặt với máy giặt thì chắc sẽ dễ hỏng chữ 	Design	1	neutral
35#46#0	chất liệu:tốtt đúng với mô tả:đúng màu sắc:tốt áo đẹp nên mua nha mn	Design	0	positive
15#73#0	Áo đẹp vải đẹp đường may đẹp bo cổ áo cũng đẹp luôn màu chuẩn hình in đẹp	Design	0	positive
59#130#0	Màu sắc:hồng Màu đẹp nhưng màu pastel kiểu này hơi dìm da. T thích cổ tròn dáng cao hơn là cổ tròn rộng nên t thấy phần cổ ưng lắm. Chất thì khá nóng nhưng hút mồ hôi tốt. Tóm lại hợp giá tiền. Shop cskh tốt, áo giao nhanh	Design	0	positive
0#13#0	áo chuẩn form mặc mát nói chung thích lắm. se ủng hộ tiếp nha shop	Design	0	positive
55#67#0	đúng với mô tả:đúng với mô tả màu sắc:nâu vải hơi mỏng may lỗi ở cổ nhưng với giá tiền rẻ thì ok	Design	2	negative
26#56#0	chất liệu:vải mềm mịn mát màu sắc:màu chuẩn hình, tôn da đúng với mô tả:hàng đẹp chuẩn hình áo mềm mát, giá sale quá hời lun lại còn đc áp thêm mã giảm giá, shop quá đỉnh	Design	0	positive
22#37#0	chất liệu:chất vải ok màu sắc:màu đẹp đúng với mô tả:hàng đúng với mô tả áo đẹp chất ok, mặc rất thích	Design	0	positive
25#80#0	chất vải xịn sờ mát tay, vừa vặn, lần thứ 2 mình mua của shop vẫn cứ là chim ưng, lầm sau lại ủng hộ tiếp	Design	0	positive
63#119#0	màu sắc:đen đúng với mô tả:đúng chất liệu:vải chiếc thứ 2 rồi, nhưng form áo màu đen to hơn một tí so với màu xanh than	Design	1	neutral
71#115#0	giao hàng nhanh, đóng gói cẩn thận (có ảnh). chất vải nhẹ, co dãn tốt, màu sắc hài hòa. phom chuẩn, mặc vào rất đẹp. shop tư vấn tỉ mỉ nên mặc vừa khít. dưới 100k mà nhận được 1 sản phẩm quá sức hài lòng. cảm ơn shop.	Design	0	positive
16#54#0	áo đẹp, vải đẹp nhưng lại có in chữ, ko có sẽ đẹp hơn.	Design	1	neutral
0#20#0	quần mặc khá ô tô kê mát mẻ thoáng may mặc ổn dùng ngon nên khá thích đã mặc thử	Design	0	positive
17#125#0	chất vải mát oki nhưng hình in thì cũng gọi là bình thường thui chưa mặc lần nào mình đã thấy vài chỗ hơi bong tróc rùi ý hic , nhưng với giá này thì khá ok nha. clip mình quay siêu sát cận cảnh luôn đó , b nào mua tham khảo nha	Design	1	neutral
14#71#0	chất lượng ok nhưng mà cổ áo hơi nhỏ nên mặc lên cảm giác vai bị to hơn	Design	2	negative
115#147#0	mua hàng trên shope nhiều.nhưng chưa bao giờ đánh giá shop nào. nay nhận được hàng của shop thấy rất ưng, vải mát. đường may mũi chỉ khá đều mà đẹp. giao đúng size và màu, giao hành cực nhanh, shop ở trong thành phố hồ chí minh. còn mình thì ở ngoài bắc. sẽ còn ủng hộ shop nhiều	Design	0	positive
46#61#0	chất liệu:vai màu sắc:den đúng với mô tả:dung tay áo hơi ngắn, chất áo ổn với giá này nên không đòi hỏi gì nhiều	Design	2	negative
28#66#0	vải khá ổn, nhưng hơi mỏng, cảm giác hơi rũ không đc đứng form lắm, nhưng săn sale giá cũng ok nên cho shop 5*	Design	2	negative
77#84#0	Màu sắc:đẹp Đúng với mô tả:đúng Chất liệu:vải ổn nhưng hơi dày Sản phẩm đẹp, form ok. Mình mua size hơi to mặc hơi rộng. Sẽ còn ủng hộ shop nữa.	Design	0	positive
0#28#0	đúng với mô tả:nhưng hơi dài	Design	2	negative
50#71#0	chất liệu:cotton màu sắc:trắng đúng với mô tả:yes áo rất đẹp thoáng khí mình mua tặng nên k có hình ở đây	Design	0	positive
36#54#0	Màu sắc:nâu Vải mặc mát , dày dặn , form chuẩn rất đẹp nha nên mua nha mn.	Design	0	positive
24#66#0	vải co giản 4 chìu luôn màu đẹp lựa đúng mẫu của ba mình thích lun . sẽ quay lại mua tiếp những lần sauu	Design	0	positive
76#92#0	Đúng với mô tả:đúng Màu sắc:tươi, đẹp Chất liệu:chắc chắn Áo cx ko dày lắm, size dễ mặc, tốt	Design	0	positive
27#129#0	áo vải đẹp, k dày, k mỏng, màu bên ngoài đậm hơn xíu so với mình chụp, form slim fit, mình cao 1m60 mặc size m vừa k cần lên lai, còn độ bền thì phải cần tgian.đáng đồng tiền.	Design	0	positive
139#176#0	Chất liệu:tamj on Màu sắc:đen Đúng với mô tả:giống như mẫu mình thấy chất vải không quá dày cũng khôg hẳn đẹp đóng gói đẹp giao hàng nhanh nhưng hình trên áo nó bị vệt trắng ra	Design	2	negative
66#109#0	áo mua nhiều rồi. rất là thích luôn ó nha. đợt này mua cho bạn á. áo đôi dth lắm hí hí.Form đẹp thoải mái lắm	Design	0	positive
47#117#0	Chất liệu:cotton Đúng với mô tả:ok Màu sắc:xám Đường may đẹp hoàn thiện chỉ thừa from áo rất đẹp hình in cũng sắc nét	Design	0	positive
54#87#0	Giao hàng nhanh. Săn sale chỉ hơn 100k, chất mềm mát. Mặc lên vừa vặn rất thích, in đẹp. Đáng mua nhé	Design	0	positive
22#34#0	đúng với mô tả:mỏng , to khong đẹp	Design	2	negative
60#210#0	màu sắc:trắng chất liệu:cotton su đúng với mô tả:không mình mua áo đôi nhưng lại nhận lại hàng nhue này hai cái nó khác nhau luôn nhé,một cái in đậm nhưn lại bị mất nét nhưng còn cái kia nhạt mà lại in đúng chữ.mình đã nt với shop nhưng k nhận đc phản hồi mình thực sự bức xúc,thôi thì với giá này cũng ko mong gì.mong shop gt sẽ k quaylaij	Design	2	negative
87#101#0	chất liệu:mỏng đúng với mô tả:ko màu sắc:trắng hình in bị đè lên nhau ( xấu ) vải mỏng áo rộng dài vl	Design	2	negative
42#65#0	áo đẹp lắm ạ màu đẹp, fomr ok vải dày dặn các đướng may chắc chắn	Design	0	positive
0#11#0	áo form đẹp, vải mát. hộp xịn xò, đáng mua nhé mọi người. giao hàng nhanh.	Design	0	positive
0#47#0	áo bị bé hơn mình tưởng, nên đặt lên 1 size nữa	Design	2	negative
13#23#0	chất liệu:ok màu sắc:ok đúng với mô tả:ok sp chất lượng tốt đáng tiền shop giao hàng nhanh chất lượng ổn có thể mua giá rẻ	Design	0	positive
0#34#0	size l r mà bé tí như áo trẻ con ý	Design	2	negative
49#65#0	áo mỏng hoa kh giống với mô tả cho lắm chất liệu in giặt bị bong.	Design	2	negative
45#69#0	chất vải k như mong muốn nma giá rẻ nên ksao bù lại hình in đẹp chuẩn giao hàng nhanh	Design	0	positive
75#113#0	Đúng với mô tả:đúng Màu sắc:trắng Shop đóg gói cẩn thận áo đẹp nên mua nha Tui 1m64 47kg size L phũ mông xinh nha	Design	0	positive
68#129#0	Chất liệu:vải coton Đúng với mô tả:đúng áo đẹp xỉu chất vãi mặc mát mình mét 55 mặc size l rata ưng luôn tại mik thích mặc rộng á	Design	0	positive
27#43#0	Áo rất uki nha mặc nhẹ mát màu thì khá xinh đúng với mẫu á	Design	0	positive
71#167#0	đúng với mô tả:khokng biết chất liệu:ổn màu sắc:đen - xl mặc mát, thơm khuyên mn nên mua size vừa mình thôi mình m58 mặc size này qua mông( nhìn nó cứ mỏng mỏng sao í)	Design	1	neutral
0#72#0	đặt size l mặc ôm :(( mình cao 1m73 nặng 46kg mặc size l ôm nhìn gốm lắm .	Design	2	negative
62#92#0	Màu sắc:kem be Chất liệu:Cotton Vải mát , giặt máy thoải mái, chất lượng hình in trên áo tốt	Design	0	positive
65#76#0	màu sắc:đen chất liệu:vải cotton (vải mỏng ) đúng với mô tả:khác chê hình in với giá như này thì cũng chẳng đòi hỏi gì thêm nhm bán chẳng có tâm :(( (áo mỏng vải nóng lắm)	Design	2	negative
65#78#0	màu sắc:nhạt chất liệu:rất mỏng vãi rất mỏng giá rẻ nên như vậy, đc cái in đẹp	Design	0	positive
40#55#0	áo màu đẹp. vải đẹp. giao hành nhanh. dáng áo cũng ok. mua giờ sale nên giá cũng ok. hài lòng với sản phẩm	Design	0	positive
42#88#0	vải tạm, phù hợp giá tiền. đã mua 2,3 lần nhưng lần này áo in chữ khác chứ k phải guzado . chất liệu chưa biết sao	Design	2	negative
21#34#0	chất liệu:vải cotton màu sắc:chuẩn đúng với mô tả:giống mô tả mình rất hài lòng với sản phẩm, áo đẹp giá rẻ, mọi người nên mua nhé.	Design	0	positive
77#95#0	Màu sắc:màu be hồng Chất liệu:bth Với giá này thù chất vải chưa tốt khá mỏng còn nhiều chỉ thừa	Design	2	negative
52#64#0	shop gói hàng đẹp, áo giống mô tả, ship hàng nhanh, form áo rộng	Design	0	positive
0#76#0	hình in bị dính bụi mịn, hình dính vào nhau làm loang màu sang các hình khác chất tạm được	Design	2	negative
18#46#0	chất lượng áo đẹp nhưng chất lượng hình in kém. đánh giá 4 sao vì áo giao không có hộp cũng ko có móc khoá	Design	2	negative
7#18#0	áo đẹp mặc vừa vặn,nhân viên giao hàng quá trễ nên hơi bực mình!	Design	0	positive
0#17#0	áo from k đẹp lắm, vải hơi mỏng nhưng shiper nhiệt tình lắm ạ	Design	2	negative
13#23#0	chất liệu:ok màu sắc:ok đúng với mô tả:ok mua của shop nhiều lần nên khá hài lòng. đóng gói cẩn thận, giao hàng nhanh. áo đen tiếc quá hết 3xl nên phải lấy sz nhỏ hơn mong là vừa	Design	0	positive
53#74#0	chất liệu:bình thường đúng với mô tả:bình thường màu sắc:bình thường hình ảnh chỉ mang tính chất nhận xu	Design	1	neutral
114#127#0	Đúng với mô tả:đúng Màu sắc:hồng Áo cũng tạm thôi á vải chắc tùy người riêng mình thấy không đẹp mỏng dễ bị dãn í cổ hơi bé nữa nch mua để trải nghiệm thoi	Design	2	negative
