id	original_sentence	aspect	label_id	label
102#113#0	đúng với mô tả:đúng chất liệu:vải thun màu sắc:đen hơi chật so với kích thước mô tả, vải tốt co giãn. rẻ chất tốt.	Price	0	positive
79#118#0	lần thứ 2 mua của shop , rất hài lòng , vải đẹp , from dáng cũng đẹp vừa vặn , đã sale rẻ rồi mà còn được quà tặng nữa , sẽ còn ủng hộ shop dài dài nhé !	Price	0	positive
0#22#0	với giá này thì quá ok nhưng nếu bạn nào thích from rộng thì mình nghĩ nên đặt size xl nha, vì l hơi ngắn và k rộng lắm	Price	0	positive
0#112#0	mình đã mua áo ở shop 1 lần rồi thật sự là với giá chưa tới 100k 1c áo như này thực sự phải nói là quá rẻ luôn ạ. áo chất mát, không bai không xù, màu sắc y hình, giao hàng nhanh , áo cũng rất đứng fom nói chung là siêu rẻ, đẹp rất đáng mua	Price	0	positive
150#156#0	chất liệu:mịn màng, nhẹ màu sắc:đẹp, sắc nét đúng với mô tả:hàng đẹp, đúng như mô tả đóng gói cẩn thận, bảo bì, hộp rất chỉn chu. áo đẹp, chất lượng, giá rẻ. lần sau sẽ mua tiếp tại shop.	Price	0	positive
114#134#0	chất liệu:vải màu sắc:đen đúng với mô tả:không áo kh đẹp như shop nói đâu ạ hình in cx kh đẹp loang tùm lum hết á nhưng áo rẻ lên thôi, đánh giá 4 sao ạ	Price	1	neutral
12#30#0	Áo chất đẹp ổn so với giá tiền. Chất lượng áo đối với mình không có gì để chê luôn. Rcm mua áo nì ạ rất là đẹp luôn ý	Price	0	positive
56#74#0	Chất liệu:cotton Đúng với mô tả:tôtd Màu sắc:be Vải đẹp đúng với giá thành và ship rất nhanh shop rất tâm huyết khi rep tin nhắn	Price	0	positive
43#53#0	Chất liệu:t Đúng với mô tả:đẹp Màu sắc:nAU giá hạt dẻ mà vải cũng oke la lắm nhe nói chung là nên mua nhe k	Price	0	positive
0#22#0	áo quá rẻ quá đẹp luôn. đẹp từ bao bì, khâu đóng gói đến chất bảo và form áo. ko có gì để chê hết. shop còn tặng card điện thoại cho mỗi đánh giá nữa. like cho shop nè sẽ tiếp tục ủng hộ	Price	0	positive
44#64#0	màu sắc:chuẩn đúng với mô tả:chuẩn god job. săn sales nên giá ok, hàng vải mịn, mát dễ mặc. chúc shop mua may bán đắt	Price	0	positive
36#59#0	màu sắc:xanh hồng nâu đúng với mô tả:hàng chất lượng giá rẻ vải mát sẽ ủng hộ tiếp chất liệu:coton chất lượng ok giặt vẫn ko xù lông bền	Price	0	positive
19#29#0	vải mềm, sờ thích, giá hợp lí, giao hàng nhanh. mua hộ ck. nói chung ưng ý.	Price	0	positive
31#60#0	giao hàng nhanh, đóng gói đẹp, chất lượng tốt so với tầm giá, mình sẽ tiếp tục ủng hộ trong các lần sau	Price	0	positive
46#62#0	Màu sắc:xám Đúng với mô tả:yess Chất liệu:vải Áo đẹp mà rẻ nữa. Mặt mát lắm ạa Nói chung là rất đáng để mua í chắc tui phải mua hết tất cả các màu của mẫu này quáa	Price	0	positive
24#60#0	áo mỏng nhìn ko dc mát, giá 188k chứ giá hơn 300k thì bị đắt	Price	1	neutral
58#81#0	chất áo mát thoáng mặc thoải mái. tư vấn size nhiệt tình. mua sale giá cực hợp lý	Price	0	positive
78#106#0	mình đã nhận được hàng, áo rất đẹp nha mọi người, lần đầu mua thấy rất ưng ý, chất lượng mà giá lại rẻ nữa, mọi người nên mua nha.	Price	0	positive
50#73#0	đúng với mô tả:chuẩn, mọi người nên mua để mătj , ao rẻ mà chất lượng lắm! chất liệu:ổn màu sắc:đẹp ổn áp, nên mua nha mọi người, giá đã rẻ mà còn vô cùng chất lượng, giao hàng siêu nhanh nha, tư vấn vô cũng nhiệt tình ,ảnh chỉ mang tính chất mình hoạ thôi ấy ạ nghen! nên mua nhé	Price	0	positive
13#20#0	hàng rất đẹp,giá tốt,tiếp cận khách hàng chu đáo,đóng gói đẹp,với phong cách làm ăn chuyên nghiệp sẽ được nhiều khách hàng ủng hộ..	Price	0	positive
64#79#0	hình ảnh vài video chỉ mang tính chất nhận xu nma áo ok lắm nha săn sale nên rẻ shop đóng gói thì siêu cẩn thận r nên mua nha	Price	0	positive
38#48#0	áo đẹp, mở ra sờ chất rất mịn và mát, giá lại rẻ mình mua cho bố mình nhưng chưa mang về cho bố không biết bố mặc vừa không	Price	0	positive
22#43#0	Màu cưng xĩu xinh xắn Đúng là giá cả hợp lý Vải đẹp	Price	0	positive
16#22#0	Áo rất đẹp luôn Giá rẻ nhưng chất lượng rất tốt Vải dày dặn mặc thoải mái Mình 1m7 mặc vừa in	Price	0	positive
99#110#0	màu sắc:đẹp đúng với mô tả:y hệt mô ta của shop shop giao hàng nhanh, sản phẩm đẹp, đường may đẹp. giá hợp lý. màu sắc chất lượng tốt.	Price	0	positive
68#75#0	chồng mình toàn dùng đồ colmate, vải mềm mát, form basic chẩn form, giá tốt, chăm sóc khách tốt.	Price	0	positive
