id	original_sentence	aspect	label_id	label
27#60#0	áo chất đẹp nha mọi người, giao hàng nhanh đóng gói cận thận, mình mua mấy lần rồi	Service	0	positive
70#181#0	"""áo y hình. đẹp lắm ạ. mình mua tặng nên không có hình mặc lên người. mặc dù dịch nhưng shop giao hàng nhanh. đúng như slogan của shop: """"best quality - best price"""". nên mua nha m.n"""	Service	0	positive
36#51#0	Chất liệu:oke Màu sắc:trắng Áo đẹp, giao hàng nhanh, mình 1m57 50kg size L đẹp lắm	Service	0	positive
25#44#0	áo siêu dày dặn đẹp nha, giao hàng lại nhanh, màu áo rất đẹp, gói hàng cẩn thận. shop rất nhiệt tình	Service	0	positive
22#96#0	áo nhận được rất mát, chưa kể shop hopx trợ nhiệt tình, mình đặt nhầm size nhưng shop hỗ trợ đổi	Service	0	positive
49#64#0	đúng với mô tả:đúng đấy nhưng áo quá mỏng lun ý .giao hàng nhanh màu sắc:trắng chất liệu:vải nếu mng muốn mua thì nên cân nhắc nhá tại áo mỏng lắm luôn .mng nhìn áo trên ảnh z chứ áo quá mỏng luôn với lại là áo có mùi rất khó ngửi . cho shop 1sao	Service	1	neutral
12#28#0	áo vải tốt, giao hàng nhanh. giá cả hợp lý, đáng mua. 5 sao nha ^^	Service	0	positive
0#33#0	đóng gói 10đ, giao hàng siu nhanh, áo đẹp ạ. và lại 1 lần nữa that thiết mong shop up size ạ  để nhỡ sau em m có lớn hơn vẫn mua áo của shop đc hihi	Service	0	positive
8#18#0	áo đẹp, giao nhanh, mua 6 màu luôn rồi mặc mát thích lắm có cái logo mặc giặt vài lần bong ra nhé	Service	0	positive
52#68#0	áo chất tốt nhưng không quá mát hợp phòng điều hoà, giao hàng nhanh, giá hợp lý	Service	0	positive
13#46#0	hàng như hình. giao hàng nhanh. cho shop 5 sao abcdefghikpmno	Service	0	positive
0#20#0	shop giao hàng nhanh, áo đẹp, phù hợp với giá tiền	Service	0	positive
8#74#0	áo đẹp, giao hàng nhanh, đặt từ trưa hôm qua, trưa hôm nay đã nhận đc hàng	Service	0	positive
0#29#0	giao hàng nhanh, đóng gói kỹ, mẫu mã rất đẹp, tiện dụng, hài lòng về shop và sản phẩm này	Service	0	positive
