sentenceId,raw_text,aspectTerms,aspectCategories
2085,"màu sắc:xanh thiên thanh đúng với mô tả:đúng mô tả chất liệu:cotton shop chuẩn bị hành nhanh, đóng gói kỹ, áo mặc vừa đúng size, mặc mát, khá là ưng!","[{'term': 'shop chuẩn bị hành nhanh, đóng gói kỹ', 'polarity': 'positive'}, {'term': 'áo mặc vừa đúng size', 'polarity': 'positive'}, {'term': 'mặc mát, khá là ưng', 'polarity': 'positive'}]","[{'category': 'Service', 'polarity': 'positive'}, {'category': 'Design', 'polarity': 'positive'}, {'category': 'Material', 'polarity': 'positive'}]"
1148,"giao hàng nhanh, áo rất đẹp. sờ vải rất là mát. cám ơn shop đã bán sản phẩm tốt tới người tiêu dùng. ủng hộ shop lần sau.","[{'term': 'sờ vải rất là mát', 'polarity': 'positive'}, {'term': 'áo rất đẹp', 'polarity': 'positive'}, {'term': 'giao hàng nhanh', 'polarity': 'positive'}]","[{'category': 'Material', 'polarity': 'positive'}, {'category': 'General', 'polarity': 'positive'}, {'category': 'Service', 'polarity': 'positive'}]"
3196,"áo đẹp, như hình, giao hàng nhanh, form chuẩn. nên mua nha mn.","[{'term': 'form chuẩn', 'polarity': 'positive'}, {'term': 'giao hàng nhanh', 'polarity': 'positive'}, {'term': 'áo đẹp, như hình', 'polarity': 'positive'}]","[{'category': 'Design', 'polarity': 'positive'}, {'category': 'Service', 'polarity': 'positive'}, {'category': 'General', 'polarity': 'positive'}]"
5870,"Màu sắc:be Đúng với mô tả:đúng Chất liệu:vải cotton Áo rộng, mặc lên vừa i người tớ luôn,k có chỉ thừa ,chất vải xịn xò, đáng đồng tiền để mua lắm nha","[{'term': 'chất vải xịn xò', 'polarity': 'positive'}, {'term': 'đáng đồng tiền để mua lắm nha', 'polarity': 'positive'}, {'term': 'Áo rộng, mặc lên vừa i người tớ luôn,k có chỉ thừa', 'polarity': 'positive'}]","[{'category': 'Material', 'polarity': 'positive'}, {'category': 'Price', 'polarity': 'positive'}, {'category': 'Design', 'polarity': 'positive'}]"
4558,màu sắc:nâu đúng với mô tả:không chất liệu:vải siêu mỏng vì giá rẻ và xem live nên với giá này không đòi hỏi gì cao nhưng mà chất vỏng mỏng vcl á,"[{'term': 'chất liệu:vải siêu mỏng', 'polarity': 'negative'}, {'term': 'vì giá rẻ và xem live nên với giá này không đòi hỏi gì cao', 'polarity': 'neutral'}, {'term': 'nhưng mà chất vỏng mỏng vcl á', 'polarity': 'negative'}]","[{'category': 'Material', 'polarity': 'negative'}, {'category': 'Price', 'polarity': 'neutral'}, {'category': 'Material', 'polarity': 'negative'}]"
5711,"Áo đẹp tuyệt vời nha <3 k có chỉ thừa, hình in rõ nét, chất vải mềm mại, mặc vô rất thoải mái, màu cũng ưng nữa. Nói chung là 10đ. Mình cao 1m6, nặng 44kg, mặc size M là vừa. Ai muốn oversize thì tăg lên 1 size nha","[{'term': 'chất vải mềm mại, mặc vô rất thoải mái', 'polarity': 'positive'}, {'term': 'k có chỉ thừa, hình in rõ nét', 'polarity': 'positive'}, {'term': ', màu cũng ưng nữa.', 'polarity': 'positive'}, {'term': 'Nói chung là 10đ.', 'polarity': 'positive'}, {'term': 'Áo đẹp tuyệt vời nha', 'polarity': 'positive'}]","[{'category': 'Material', 'polarity': 'positive'}, {'category': 'Design', 'polarity': 'positive'}, {'category': 'Design', 'polarity': 'positive'}, {'category': 'General', 'polarity': 'positive'}, {'category': 'General', 'polarity': 'positive'}]"
5761,Đúng với mô tả:áo xinh xĩu shop tư vấn nhiệt tình size M nhưng cũng to lém Màu sắc:màu có vẻ tôn da Chất liệu:mặc thoát mát vải mền,"[{'term': 'shop tư vấn nhiệt tình', 'polarity': 'positive'}, {'term': 'Chất liệu:mặc thoát mát vải mền', 'polarity': 'positive'}, {'term': 'áo xinh xĩu', 'polarity': 'positive'}]","[{'category': 'Service', 'polarity': 'positive'}, {'category': 'Material', 'polarity': 'positive'}, {'category': 'General', 'polarity': 'positive'}]"
5152,đúng với mô tả:đúng chất liệu:tốt màu sắc:nâu shiper ko nhiệt tình chút nào ko hài lòng về shiper mới đợi có chút mà ns này nói nọ .sản phẩm đẹp chất lượng tốt nên mua nha mng,"[{'term': 'chất liệu:tốt', 'polarity': 'positive'}, {'term': 'shiper ko nhiệt tình chút nào ko hài lòng về shiper mới đợi có chút mà ns này nói nọ', 'polarity': 'negative'}, {'term': 'đúng với mô tả:đúng', 'polarity': 'positive'}]","[{'category': 'Material', 'polarity': 'positive'}, {'category': 'Service', 'polarity': 'negative'}, {'category': 'General', 'polarity': 'positive'}]"
6875,"Màu trắng đẹp, vải ko dày, ko mỏng, hợp giâ tiền Hình in oke, mn nên mua trải nghiệm thử ạ Mình m53 46kg sizeM vừa in","[{'term': 'Màu trắng đẹp', 'polarity': 'positive'}, {'term': 'vải ko dày, ko mỏng', 'polarity': 'neutral'}, {'term': 'hợp giâ tiền', 'polarity': 'positive'}, {'term': 'Hình in oke', 'polarity': 'positive'}]","[{'category': 'Design', 'polarity': 'positive'}, {'category': 'Material', 'polarity': 'neutral'}, {'category': 'Price', 'polarity': 'positive'}, {'category': 'Design', 'polarity': 'positive'}]"
6409,"Chất liệu:đẹp Màu sắc:đẹp Đúng với mô tả:đúng với miêu tả Chất vải dày dặn, hình in chuẩn đẹp, màu be khá đẹp. Nên mua nha các bạn, khá là rẻ so vs các local brand khác","[{'term': 'Chất liệu:đẹp', 'polarity': 'positive'}, {'term': 'Màu sắc:đẹp', 'polarity': 'positive'}, {'term': 'Chất vải dày dặn', 'polarity': 'positive'}, {'term': 'hình in chuẩn đẹp, màu be khá đẹp', 'polarity': 'positive'}, {'term': 'Nên mua nha các bạn', 'polarity': 'positive'}, {'term': 'khá là rẻ so vs các local brand khác', 'polarity': 'positive'}]","[{'category': 'Material', 'polarity': 'positive'}, {'category': 'Design', 'polarity': 'positive'}, {'category': 'Material', 'polarity': 'positive'}, {'category': 'Design', 'polarity': 'positive'}, {'category': 'General', 'polarity': 'positive'}, {'category': 'Price', 'polarity': 'positive'}]"
